date,ticker,name,open,high,low,close,prev_close,change_pct,volume,value_iqd,trades
2026-09-09,SKTA,Kharkh Tour Amuzement City,4.4,4.4,4.2,4.2,4.4,-4.55,34275.0,146214.0,2.0
2026-09-09,SMOF,Al-Mosul for funfairs,6.73,6.73,6.3,6.4,7.0,-8.57,2960000.0,18811500.0,23.0
2026-09-09,SMRI,Mamoura Realestate ,2.32,2.35,2.2,2.33,2.35,-0.85,2954827.0,6767183.45,33.0
2026-09-09,HKAR,Rehab Karbalaa ,0.5,0.5,0.5,0.5,0.5,0.0,18648.0,9324.0,4.0
2026-09-09,IBSD,Baghdad Soft Drinks,6.18,6.18,6.15,6.17,6.18,-0.16,9994498.0,61587912.25,91.0
2026-09-09,IIDP,Iraqi Date Processing and Marketing,2.1,2.1,2.1,2.1,2.15,-2.33,440680.0,925428.0,6.0
2026-09-09,IITC,Iraqi For Tufted Carpets,23.0,23.0,22.9,22.9,22.0,4.09,97697.0,2237290.55,4.0
2026-09-09,IMAP,Al-Mansour Pharmaceuticals Industries,2.2,2.2,2.2,2.2,2.2,0.0,875000.0,1925000.0,8.0
2026-09-09,IMOS,Modern Sewing,7.06,7.5,7.05,7.5,7.2,4.17,6662100.0,49249156.0,29.0
2026-09-09,HBAG,Baghdad Hotel,12.2,12.2,12.2,12.2,12.25,-0.41,1443591.0,17611810.2,22.0
2026-09-09,HMAN,Mansour Hotel,61.2,61.2,61.1,61.1,61.2,-0.16,36521.0,2232533.1,13.0
2026-09-09,HTVM,Tourist Village of Mosul dam,15.0,15.0,15.0,15.0,13.55,10.7,1428.0,21420.0,1.0
2026-09-09,BINT,International Islamic Bank,0.15,0.15,0.11,0.15,0.12,25.0,2369230.0,269881.22,26.0
2026-09-09,BLAD,Al-Ataa Islamic Bank,0.09,0.09,0.09,0.09,0.09,0.0,99000.0,8910.0,1.0
2026-09-09,BROI,Credit Bank Of Iraq,0.5,0.5,0.49,0.49,0.5,-2.0,8000000.0,3960000.0,15.0
2026-09-09,NHAM,Al-Hamraa for Insurance,5.0,5.0,4.5,4.5,5.0,-10.0,1784830.0,8286165.5,14.0
2026-09-09,IFCM,Fallujah for construction Materials,2.86,2.86,2.86,2.86,2.85,0.35,100000.0,286000.0,2.0
2026-09-09,IHFI,National Furniture Industries,1.15,1.15,1.15,1.15,1.15,0.0,9000.0,10350.0,1.0
2026-09-09,BMFI,Mosul Bank For Investment,0.14,0.14,0.14,0.14,0.13,7.69,1000.0,140.0,1.0
